strategy,months,active_sharpe_monthly,active_sharpe_annualized,selection_threshold_monthly,selection_threshold_annualized,dsr_probability,passes_dsr_95pct,candidate_count_raw,trial_dependence_note
hyp_no_growth_low_vol_macro_sector_n10,102,0.1584807665613723,0.5489934794135192,0.135470755189313,0.46928446185523054,0.5928415279295952,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
hyp_static_neutral_no_growth_low_vol_n10,102,0.11293764230156794,0.39122746910671147,0.135470755189313,0.46928446185523054,0.4091433511063998,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
hyp_no_growth_low_vol_n10,102,0.11072423134530103,0.38355998863814367,0.135470755189313,0.46928446185523054,0.40014292425357556,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
no_low_vol_n10,102,0.09748300294354158,0.33769102794520084,0.135470755189313,0.46928446185523054,0.3478994535585104,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
dynamic_no_macro_sector_n10,102,0.06877563861607049,0.2382458008120603,0.135470755189313,0.46928446185523054,0.25367750545832696,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
no_growth_n10,102,0.06953763310533435,0.2408854271530453,0.135470755189313,0.46928446185523054,0.2536025683814611,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
static_neutral_n10_invvol,102,0.04780819059438767,0.16561243025483194,0.135470755189313,0.46928446185523054,0.19137001987755364,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
full_dynamic_n10_equal,102,0.03621298866661743,0.12544547252899463,0.135470755189313,0.46928446185523054,0.1590526658186428,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
full_dynamic_n10_score,102,0.035386473221185745,0.12258233903953843,0.135470755189313,0.46928446185523054,0.15700056814171914,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
full_dynamic_n10_invvol,102,0.026183140977302437,0.0907010609488529,0.135470755189313,0.46928446185523054,0.13609667087227745,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
full_dynamic_strict_12_30,102,0.011419230836949101,0.03955737598590623,0.135470755189313,0.46928446185523054,0.10646231590951305,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
no_sector_rotation_n10,102,0.010084130969390483,0.03493245437832622,0.135470755189313,0.46928446185523054,0.10424521387094288,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
full_dynamic_n20_invvol,102,-0.018511382462863355,-0.06412530988803765,0.135470755189313,0.46928446185523054,0.060331092348580306,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
no_quality_n10,102,-0.021197840719842913,-0.0734314742750407,0.135470755189313,0.46928446185523054,0.05747851718201369,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
no_momentum_n10,102,-0.033598688081449966,-0.11638926964946045,0.135470755189313,0.46928446185523054,0.04516301347063234,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
full_dynamic_n5_invvol,102,-0.04111758692617893,-0.14243549928154345,0.135470755189313,0.46928446185523054,0.03779929548296834,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
no_value_n10,102,-0.1574136417821508,-0.5452968507422645,0.135470755189313,0.46928446185523054,0.0020447588557638285,False,17,"Raw candidate count used; correlated strategies violate independent-trial assumption, so treat DSR as a diagnostic rather than exact inference."
